method,n_valid,accuracy,precision,safe_recall,unsafe_reject,f1,unsafe_landing_rate,TP,FP,FN,TN
Ontology+AI (policy),1000,0.663,0.975,0.644983461962514,0.838709677419355,0.776376907763769,0.161290322580645,585,15,322,78
Ontology+AI (executed),1000,0.703,0.935714285714286,0.722160970231532,0.516129032258065,0.815183571873055,0.483870967741935,655,45,252,48
Threshold baseline,1000,0.351,0.905660377358491,0.317530319735391,0.67741935483871,0.470204081632653,0.32258064516129,288,30,619,63
