method,n_valid,accuracy,precision,safe_recall,unsafe_reject,f1,unsafe_landing_rate,TP,FP,FN,TN
Ontology+AI (policy),827,0.183796856106409,1,0.0014792899408284,1,0.00295420974889217,0,1,0,675,151
Ontology+AI (executed),827,0.307134220072551,0.701960784313725,0.264792899408284,0.496688741721854,0.38453276047261,0.503311258278146,179,76,497,75
Threshold baseline,827,0.669891172914148,0.868372943327239,0.702662721893491,0.52317880794702,0.776778413736713,0.47682119205298,475,72,201,79
