method,n_valid,accuracy,precision,safe_recall,unsafe_reject,balanced_accuracy,f1,unsafe_landing_rate,TP,FP,FN,TN
Ontology+AI (policy),281,1,NaN,NaN,1,1,NaN,0,0,0,0,281
Threshold baseline,281,1,NaN,NaN,1,1,NaN,0,0,0,0,281
