scenario_id,mean_wind_speed,max_wind_speed,wind_velocity_x,wind_velocity_y,wind_velocity,wind_acceleration_x,wind_acceleration_y,wind_acceleration,mean_abs_roll_deg,mean_abs_pitch_deg,mean_abs_vz,max_abs_vz,mean_tag_error,max_tag_error,stability_std_z,stability_std_vz,mean_imu_ang_vel,max_imu_ang_vel,mean_imu_lin_acc,max_imu_lin_acc,wind_speed_cmd,wind_dir_cmd,hover_height_cmd,gt_safe_to_land,label,success,onto_wind_condition,onto_gust,onto_temporal_pattern,onto_drone_state,onto_tag_observation,onto_landing_context
1,2.02899906343343,2.68869137763977,-1.25370855354312,-1.57730085749826,2.02899906343343,-0.0595238188046771,0.0144349297835848,0.0612490996092927,0.895466322355324,0.951917041304163,0.176215908814613,0.240261085461271,0.128008401660559,0.395523556212078,0.156751829796941,0.0426255930198038,NaN,NaN,NaN,NaN,2.0716688985117,-127.374480982322,2.31472368639318,stable,stable,1,0.630418855321914,0.159659772291463,0.180963558928194,0.897376890592512,0.343107377039752,0.567592204784128
2,2.30038974404335,3,-1.38942263384636,-1.79525620135444,2.30038974404335,0.00896820074884679,0.0059965622587945,0.010788298456903,1.62409246749121,1.61873754030358,0.0174338016732462,0.0841666500922387,0.115494090061601,0.487305716638489,0.000229211468044076,0.00495130472278584,NaN,NaN,NaN,NaN,2.42882567996652,-126.095851442396,2.36330248122722,stable,stable,1,0.713372547617433,0.159390162307345,0.0975364435926316,0.965803720530704,0.348669293305955,0.794919096175201
3,1.79606667424546,2.47910451889038,-1.10313089515528,-1.39589157706091,1.79606667424546,-0.058025124303927,0.0157876479846157,0.060134556449452,0.761203092216201,0.911179465069951,0.177364038128462,0.240220495941798,0.145813839429705,0.462701003994925,0.15945761845034,0.0349125604769235,NaN,NaN,NaN,NaN,1.87319628751653,-127.297520073929,1.68491561280515,stable,stable,1,0.558183808666579,0.164708183727507,0.182390439418163,0.898177832271378,0.335193849142353,0.575302153189864
4,2.27426487193119,3,-0.652118252943906,-2.14585647272777,2.27426487193119,-0.0184633050645813,0.000606979969539083,0.01847327958407,1.09272963727011,0.914073880545505,0.0630778773032429,0.240267295687211,0.125002073107581,0.386305760028247,0.00189935584902865,0.0063589471234684,NaN,NaN,NaN,NaN,2.46779887999601,-105.553838771394,1.76562841684973,unstable,unstable,0,0.705453153488964,0.166677171739228,0.103162805607195,0.952693319422684,0.344443523063298,0.568667107182918
5,1.82349998003816,2.60472440719604,-1.06448743245909,-1.46449102048905,1.82349998003816,-0.0358415260036032,0.00861207456608544,0.036861671348418,0.816021138078324,1.06360894746829,0.177267566008218,0.240264403902564,0.161218366934654,0.413136767758969,0.159504967541486,0.0375589153116452,NaN,NaN,NaN,NaN,1.88084050141636,-125.058018224367,2.43388993827952,stable,stable,1,0.566145099476626,0.182533469191068,0.194068965585798,0.896597694895168,0.328347392473487,0.574580825634438
6,1.87635747432709,2.65695571899414,-1.03559609946448,-1.54321227517607,1.87635747432709,0.00522072173510251,0.00468621440940243,0.00701545015849038,1.74844409299879,1.8110534469963,0.0186759777531952,0.0514385847510758,0.119790075446666,0.424600048414871,0.000154260769543749,0.00474859906316136,NaN,NaN,NaN,NaN,1.9161886291726,-122.783489357006,2.2884907766712,stable,stable,1,0.581834510878429,0.176920770912477,0.107947786185201,0.962694530452012,0.346759966468148,0.808299791274398
7,1.92620383476724,2.55541205406189,-1.08047811625011,-1.57902932134494,1.92620383476724,-0.0437461511958497,0.0075887367177599,0.0443994895175791,1.15147545578378,1.17623895656268,0.176640288042873,0.240264850858877,0.142845681560371,0.467217152326781,0.156681253541589,0.0425753956727943,NaN,NaN,NaN,NaN,1.96867067391655,-123.586570068552,2.32906792382941,stable,stable,1,0.598159176866589,0.149711755752851,0.174945128199696,0.893390671310127,0.336513030417613,0.570629985000026
8,1.90912282142509,2.76051497459412,-1.10665211256692,-1.53165036228285,1.90912282142509,-0.0540775055580461,0.0111283074837058,0.0552106496505195,1.16017843412334,1.28614526047798,0.17673631084671,0.240280603062677,0.157433692242558,0.499285910135668,0.156687328101641,0.0432263142606652,NaN,NaN,NaN,NaN,1.96461919299708,-125.030810267647,1.85031636382627,stable,stable,1,0.593116323133625,0.201685186898959,0.206368584360144,0.892410729833349,0.330029470114419,0.570848931409803
9,2.60626791079839,3,-0.79903946866933,-2.4464365795566,2.60626791079839,0.00414179575228028,0.00481066248933276,0.0063479875267584,2.09051663544562,1.79126557704025,0.0179935743572728,0.0592545655992199,0.130304281780593,0.421662965299935,0.000198887965739559,0.00681614345735643,NaN,NaN,NaN,NaN,2.98365709536118,-106.900241715489,2.33094160432283,stable,stable,1,0.808091172056459,0.0897535177836011,0.0564191029424574,0.960503495437546,0.342086985875292,0.784260727432966
10,1.85431208821381,2.85782694816589,-1.10960757478516,-1.45575061909665,1.85431208821381,-0.049255871889337,0.0140573314122077,0.0512225485700528,1.16670806080645,1.1960232580392,0.176945493498075,0.240325219269246,0.170971333359601,0.466079755875067,0.15660395312909,0.040213053828186,NaN,NaN,NaN,NaN,1.92399487038037,-126.353098118705,1.72055581642432,stable,stable,1,0.576031940146249,0.235181644060395,0.225333672047294,0.892962935745746,0.324012740729066,0.572782902894937
11,1.84839010887406,2.68980884552002,-1.14115445663308,-1.43980448239769,1.84839010887406,-0.0359223233238148,0.00481252406469377,0.0362432573157263,0.79834152622232,1.0829851874491,0.17698105010347,0.240233260404567,0.176097735061485,0.483527113817102,0.156645071995714,0.0422010284389537,NaN,NaN,NaN,NaN,1.90759543141243,-127.844704273722,1.74596074505347,stable,stable,1,0.573846609754991,0.195963812919892,0.202544148273286,0.89672762219799,0.321734339972673,0.573802207788266
12,2.61938963532448,3,-0.782634153796617,-2.46594774558075,2.61938963532448,0.00848321338633697,0.00451782372227619,0.00961122471611647,1.88822140921531,1.59393815363615,0.0303850835120751,0.0545761757175003,0.127823792980612,0.447885703212889,0.00658159566822503,0.00533817198091804,NaN,NaN,NaN,NaN,3,-106.299635778902,1.8300732064517,stable,stable,1,0.812235048860631,0.0873993899166137,0.057305941027897,0.957447633107272,0.34318942534195,0.783318785385513
