scenario_id,mean_wind_speed,max_wind_speed,wind_velocity_x,wind_velocity_y,wind_velocity,wind_acceleration_x,wind_acceleration_y,wind_acceleration,wind_body_force_x,wind_body_force_y,wind_body_force,mean_wind_body_risk,mean_wind_gust_risk,mean_wind_risk_raw,min_thrust_margin_n,mean_abs_roll_deg,mean_abs_pitch_deg,mean_abs_vz,max_abs_vz,mean_tag_error,max_tag_error,stability_std_z,stability_std_vz,mean_imu_ang_vel,max_imu_ang_vel,mean_imu_lin_acc,max_imu_lin_acc,wind_speed_cmd,wind_dir_cmd,hover_height_cmd,gt_safe_to_land,label,success,onto_wind_condition,onto_gust,onto_temporal_pattern,onto_drone_state,onto_tag_observation
1,2.03250591608943,2.7449369430542,-1.25238125580585,-1.58342210843372,2.03250591608943,-0.0527595085738919,0.0160930575040651,0.0551593350647714,-0.0847743120171656,-0.131992176722946,0.160534504955636,0.0103552258370698,0.126616635280692,0.12929544600279,15.4366778715826,0.910527751847784,1.05021294187289,0.175367967332627,0.240288587351343,0.141200265152804,0.402120663458685,0.159554556232686,0.0357991947493789,NaN,NaN,NaN,NaN,2.0716688985117,-127.374480982322,2.31472368639318,stable,stable,1,0.567860666824406,0.170409525828948,0.186176740600559,0.89691019659731,0.337244326598754
2,2.28432223796844,3,-1.37219450864752,-1.78906990227737,2.28432223796844,0.0133816399536404,0.00642579280149738,0.0148444973298741,-0.107155621055115,-0.17375122377967,0.213153796181338,0.0137634375646485,0.230184200528416,0.231902458318568,15.4061585402629,1.87723194370844,1.95700001553656,0.0282295787827901,0.108368824702643,0.133386011342574,0.506623774360995,0.00458735810246755,0.00717541082493681,NaN,NaN,NaN,NaN,2.42882567996652,-126.095851442396,1.92963867692304,stable,stable,1,0.655533088455299,0.163748987634244,0.102897458703842,0.955759102357394,0.340717328292189
3,1.85281024269156,2.47016859054565,-1.13496462657091,-1.44998345007663,1.85281024269156,-0.0533411952329231,-0.000840294621702533,0.0533478134877905,-0.0692139328721085,-0.111766486256136,0.134368414038838,0.00866724195599475,0.116229558799334,0.118069811521438,15.3844625604748,0.944395750703447,1.11693525610559,0.176415112154905,0.240236786181851,0.133970286647412,0.425288636117799,0.15781210770536,0.0357899180683038,NaN,NaN,NaN,NaN,1.87319628751653,-127.297520073929,2.166565121547,stable,stable,1,0.517696693688702,0.148686060739934,0.172364866640877,0.895596271726191,0.340457650378928
4,2.39889097874423,3,-0.707324071486132,-2.25949480726744,2.39889097874423,-0.0256437450311232,-0.00307717485260492,0.0258277111702675,-0.0335686245376891,-0.27415223018012,0.277901866684016,0.0179446173698599,0.235389113493493,0.236975804972565,15.3990690830992,1.88744355174336,1.57886488880601,0.0629090753332173,0.240164381425618,0.142352894247026,0.459355380130343,0.00188169133068074,0.0085906783492024,NaN,NaN,NaN,NaN,2.46779887999601,-105.553838771394,1.96778168470374,unstable,unstable,0,0.687099421992975,0.139984610163764,0.0879509563924121,0.941310181729075,0.336732047001322
5,1.83430458169405,2.69446969032288,-1.07475849078681,-1.45660863052078,1.83430458169405,-0.0663740989948999,0.00330061249132362,0.0664561137910024,-0.0668639317847905,-0.11644017306204,0.139818186609947,0.00901928854443787,0.181617326315142,0.183851411243282,15.4054582912006,0.996755567051235,1.01412946895941,0.177444596915895,0.240246471976508,0.143690504845736,0.43036828509694,0.156637271476559,0.0407633259590748,NaN,NaN,NaN,NaN,1.88084050141636,-125.058018224367,1.5,stable,stable,1,0.525918170700404,0.205720770303169,0.207872054904076,0.895477890544826,0.336137553401895
6,1.88239991982778,2.65447330474854,-1.03766509659447,-1.55642685946312,1.88239991982778,0.00372565837500855,0.00320210031539315,0.00491263440092098,-0.0584821089766927,-0.127858132535738,0.142948051864864,0.00922825109688007,0.133076099084965,0.134141596397087,15.3973909287096,1.77069617072082,1.75257672681081,0.0335758135512765,0.0579808761475214,0.112790271588474,0.43978799053749,0.0256012106953767,0.00697978903169474,NaN,NaN,NaN,NaN,1.9161886291726,-122.783489357006,1.59654348648026,stable,stable,1,0.528801631233492,0.174617161247339,0.11868671771545,0.955529234743756,0.349870990405123
7,1.90573300877396,2.78031706809998,-1.07257976561051,-1.54386226486501,1.90573300877396,-0.0699030694887703,0.00834474891707634,0.0703993889067291,-0.0672155121178097,-0.130977447757556,0.153193460260109,0.0098814103877686,0.189616887104671,0.191981702248165,15.4434859524122,0.942594461303784,0.959785951321022,0.176014244488711,0.240330660521862,0.128978952815368,0.425871939403947,0.159500796911986,0.0359799332700921,NaN,NaN,NaN,NaN,1.96867067391655,-123.586570068552,1.81325261210082,stable,stable,1,0.546591809456022,0.209687967981254,0.209785635958962,0.897045603085021,0.342676020970948
8,1.89054852318602,2.88108110427856,-1.09841409827057,-1.50565578126944,1.89054852318602,-0.0751906282679863,0.00251814784516347,0.0752327830663242,-0.070563100011831,-0.125727560943821,0.150644664921257,0.00971618673432793,0.202768977750994,0.205035501410778,15.4473015104216,0.797590485509447,0.991611518503137,0.176653278646239,0.240271553592151,0.16446968044556,0.48883210185121,0.159487299511086,0.0358460047370157,NaN,NaN,NaN,NaN,1.96461919299708,-125.030810267647,1.65687480067052,stable,stable,1,0.54515337313176,0.236662507641316,0.225915659625399,0.897615344931067,0.326902364246418
9,2.61338890194893,3,-0.825132816408673,-2.44666498819685,2.61338890194893,0.00713755252629255,0.00454019087107241,0.00845919554161945,-0.044216973640389,-0.311905710053429,0.317231697021546,0.0204843557851224,0.198576263324368,0.201062069782302,15.361752957197,1.97584683957283,1.80497209662871,0.0337329658192458,0.0747210624587744,0.124234771917275,0.500707466682475,0.0177515234836544,0.00484938641477267,NaN,NaN,NaN,NaN,2.98365709536118,-106.900241715489,1.66242440322042,stable,stable,1,0.737116121142842,0.0885383495774546,0.0627759889809435,0.953427082591651,0.344784545814544
10,1.84814673378354,2.72395706176758,-1.1093290618323,-1.44557658078323,1.84814673378354,-0.0778109313966522,0.0116215969591081,0.0786740272306844,-0.0711975226769921,-0.115211114079834,0.141796264192435,0.00914576370776733,0.185944847228345,0.188125195072255,15.4039703464015,0.916501013488948,0.986707306009267,0.176738072099812,0.240270173592228,0.166337095901987,0.469665931277116,0.159475082901254,0.0378361295831314,NaN,NaN,NaN,NaN,1.92399487038037,-126.353098118705,1.73554069600619,stable,stable,1,0.530464168023395,0.211480895455367,0.211524944471684,0.896677184296894,0.326072401821339
