scenario_id,mean_wind_speed,max_wind_speed,wind_velocity_x,wind_velocity_y,wind_velocity,wind_acceleration_x,wind_acceleration_y,wind_acceleration,mean_abs_roll_deg,mean_abs_pitch_deg,mean_abs_vz,max_abs_vz,mean_tag_error,max_tag_error,stability_std_z,stability_std_vz,mean_imu_ang_vel,max_imu_ang_vel,mean_imu_lin_acc,max_imu_lin_acc,wind_speed_cmd,wind_dir_cmd,hover_height_cmd,gt_safe_to_land,label,success,onto_wind_condition,onto_gust,onto_temporal_pattern,onto_drone_state,onto_tag_observation,onto_landing_context
1,2.02181879153922,2.76430439949036,-1.21188227490563,-1.60106439552689,2.02181879153922,0.0242949747164422,-0.0650149085416703,0.0694059372759587,0.861795159645087,1.08068248634792,0.165255657896386,0.240246246322201,0.108278305225978,0.369018173896391,0.156757952972531,0.0432030087930256,NaN,NaN,NaN,NaN,2.0716688985117,-127.374480982322,1.73728289127937,stable,stable,1,0.628383297246929,0.179783683622932,0.19325059651053,0.902109846690433,0.351876308788454,0.568392762376211
2,2.32051887830098,3,-1.3979130919654,-1.81487281329694,2.32051887830098,0.00933265541035264,0.00432722694921428,0.0102870476852395,1.3709838058236,1.56971928735729,0.00473157166434617,0.0205265953087973,0.100373082409177,0.348828096376222,0.000124794227359024,0.00334279300868835,NaN,NaN,NaN,NaN,2.42882567996652,-126.095851442396,2.33548206343339,stable,stable,1,0.719600883385961,0.154769211124572,0.0941325518698604,0.974528689864263,0.355389741151477,0.795582416600366
3,1.78173732067928,2.68007397651672,-1.05975023751138,-1.40135213723672,1.78173732067928,0.0458219083172135,-0.0640931694276585,0.0787882075510901,1.1195945415824,0.945269904861097,0.166676325043658,0.240268608178139,0.112961626627282,0.238309786816049,0.159459250999778,0.0359011424984578,NaN,NaN,NaN,NaN,1.87319628751653,-127.297520073929,1.51783016770946,stable,stable,1,0.554176960920102,0.216570252281125,0.213867890499329,0.900437902541829,0.349794832610097,0.575780428827054
4,2.41386820857686,3,-0.691513032726984,-2.28001303482845,2.41386820857686,-0.0205709742835348,-0.0155325853474794,0.0257764658273895,1.24240848619273,0.713235259425489,0.0527930205632386,0.240248747130464,0.100287724866147,0.252958963838909,0.00187719910510191,0.0099582581456376,NaN,NaN,NaN,NaN,2.46779887999601,-105.553838771394,1.61865855254231,unstable,unstable,0,0.748900595528133,0.136605338471894,0.086418698576747,0.95823771743138,0.355427677837268,0.56483385268398
5,1.83629616753,2.55699849128723,-1.05675094197138,-1.47938856897303,1.83629616753,0.0264561145543951,-0.0627676279168558,0.0681153515121528,1.18075284601379,0.988397767665816,0.166865166659226,0.240247807254293,0.160069308095841,0.485572960018869,0.156683900640053,0.0397542897598868,NaN,NaN,NaN,NaN,1.88084050141636,-125.058018224367,1.79265018989604,stable,stable,1,0.570841170136249,0.174645837289272,0.188880896914152,0.899524090420047,0.328858085290738,0.574056969466819
6,1.86318954467773,2.84277272224426,-1.0364302037488,-1.51833458461356,1.86318954467773,0.00710375003943359,0.00418744668109273,0.00824608842602038,1.20043213075179,0.854061673199588,0.0230333980026704,0.0508826078623916,0.0926180259702029,0.391961749594366,0.000134819493165994,0.00298350974332974,NaN,NaN,NaN,NaN,1.9161886291726,-122.783489357006,1.59898749649836,stable,stable,1,0.577781167580038,0.221917997830573,0.134295631107022,0.972340849681904,0.358836432902132,0.585153160702804
7,1.90683688768526,2.81155824661255,-1.04330817949797,-1.57582351968466,1.90683688768526,0.0338441488962244,-0.0533637337467643,0.0631910950522726,1.0116241532317,0.828635078554184,0.164065914495402,0.240293962334179,0.160411568292243,0.26775830350341,0.156652591747296,0.0426668377444221,NaN,NaN,NaN,NaN,1.96867067391655,-123.586570068552,1.54902812912697,stable,stable,1,0.592593894066985,0.215147339851556,0.214226991746087,0.903507863073981,0.328705969647892,0.572448136447911
8,1.87637966542732,2.88313055038452,-1.06369105111483,-1.51432874063304,1.87637966542732,0.0332600632182918,-0.0242542305257395,0.0411642988969869,1.17998644707836,0.992602776503352,0.161656805099911,0.240293165653532,0.104079526307735,0.312894380250306,0.156652862917221,0.039607753903704,NaN,NaN,NaN,NaN,1.96461919299708,-125.030810267647,2.27497135626377,stable,stable,1,0.582638196590066,0.234065737246484,0.224465756579113,0.902101253550474,0.353742432752118,0.573612473675486
9,2.61617266813914,3,-0.810597665923653,-2.45399568135352,2.61617266813914,0.00773425001472765,0.00526399206941532,0.0093556526120406,2.69060527926301,1.15349160753323,0.018291420156506,0.0728360594360262,0.175803840871112,0.445264473271247,0.000347775465983523,0.00313202798261149,NaN,NaN,NaN,NaN,2.98365709536118,-106.900241715489,1.83393960532384,stable,stable,1,0.811231825684081,0.0880763526475677,0.0541392977287152,0.960650671525491,0.321864959612839,0.558908265093591
10,1.86286900101638,2.94924473762512,-1.07011250192958,-1.4912826915081,1.86286900101638,0.0413632402257974,-0.0693150384406908,0.0807185988233906,1.23492064024884,1.00130491858649,0.165728886717309,0.240295520349432,0.110372292173692,0.271505203298795,0.156677679824408,0.0392328682144839,NaN,NaN,NaN,NaN,1.92399487038037,-126.353098118705,1.5,stable,stable,1,0.579372824287625,0.259232950521254,0.239440792211696,0.899565212964782,0.350945647922803,0.572978963932275
