scenario_id,mean_wind_speed,max_wind_speed,wind_velocity_x,wind_velocity_y,wind_velocity,wind_acceleration_x,wind_acceleration_y,wind_acceleration,wind_body_force_x,wind_body_force_y,wind_body_force,mean_wind_body_risk,mean_wind_gust_risk,mean_wind_risk_raw,min_thrust_margin_n,mean_abs_roll_deg,mean_abs_pitch_deg,mean_abs_vz,max_abs_vz,mean_tag_error,max_tag_error,stability_std_z,stability_std_vz,mean_imu_ang_vel,max_imu_ang_vel,mean_imu_lin_acc,max_imu_lin_acc,wind_speed_cmd,wind_dir_cmd,hover_height_cmd,gt_safe_to_land,label,success,onto_wind_condition,onto_gust,onto_temporal_pattern,onto_drone_state,onto_tag_observation
1,2.03364810813852,2.72436881065369,-1.25039078921524,-1.58631011830658,2.03364810813852,-0.0565703023332196,0.0117217244588933,0.0577719476074858,-0.0846320875938318,-0.132415373490068,0.160857135598711,0.0103780390557849,0.131984528802808,0.134651209474048,15.4094677506078,1.13978680986189,1.1016580539313,0.177043120763304,0.240290524871757,0.152528612798031,0.426415312732158,0.159476227625077,0.0356244164144911,NaN,NaN,NaN,NaN,2.0716688985117,-127.374480982322,2.31472368639318,stable,stable,1,0.569236404065081,0.166003681793952,0.183434865706927,0.893867087117116,0.332209505423097
2,2.29933100382487,3,-1.38777746591959,-1.7947055089518,2.29933100382487,0.0100964384417827,0.0058172849339117,0.0116524191999354,-0.109487663355841,-0.174537565587841,0.215332179429865,0.0139133537469552,0.229074847680679,0.230778386933484,15.3834058195039,2.3567288420396,2.45714315545619,0.0227586426881328,0.0802578470901103,0.161928876844097,0.446509287288551,0.000438034473136233,0.00862665930279106,NaN,NaN,NaN,NaN,2.42882567996652,-126.095851442396,2.21228503754817,stable,stable,1,0.659310611739995,0.159786800992726,0.0992037296028928,0.95079739867561,0.328031610291513
3,1.77896887631643,2.7258620262146,-1.09294523400336,-1.3732573294336,1.77896887631643,-0.0686821026338846,0.0174118754444057,0.0708548137299291,-0.0689411112051291,-0.104609554564693,0.131143844056768,0.00845835225244353,0.189918342280276,0.192079784248115,15.4432477107049,0.767960124761288,0.886699597331964,0.176995166149472,0.240270680067428,0.137157501492304,0.451234299990599,0.159461631505652,0.0360357333581721,NaN,NaN,NaN,NaN,1.87319628751653,-127.297520073929,1.91522303990107,stable,stable,1,0.512807657200672,0.226041007910908,0.219600344010614,0.898501519108817,0.339041110447865
4,2.3708440598387,3,-0.673518197849554,-2.23892076483372,2.3708440598387,-0.019853291503048,0.00266275606831353,0.0200310622130815,-0.0329327690096641,-0.272455921843211,0.276277794327654,0.0178364370751343,0.23604339743291,0.237583604797793,15.3324169551175,1.75265773390045,1.4980559116946,0.0629536917556949,0.240265712627164,0.120771228598194,0.512499842884962,0.00194489526661918,0.0109375986707106,NaN,NaN,NaN,NaN,2.46779887999601,-105.553838771394,2.01563878036746,unstable,unstable,0,0.679741803583212,0.145232447942024,0.091981175269021,0.942981832621049,0.346323898400803
5,1.8268528752131,2.51793169975281,-1.06458151100181,-1.47002164217215,1.8268528752131,-0.0398847612489422,0.00692631413407029,0.0404816996600803,-0.0613012595879797,-0.114088087121715,0.132117417434182,0.00852356394265796,0.12948504191543,0.131638770565998,15.387090484609,1.09467241649793,0.981976814174225,0.177235051999605,0.240209636332099,0.165969170375105,0.426054970891117,0.156519497809006,0.0400484809001973,NaN,NaN,NaN,NaN,1.88084050141636,-125.058018224367,2.11003708906397,stable,stable,1,0.513488520836693,0.162914380459115,0.181875933487624,0.89506594433063,0.326235924277731
6,1.88424492994944,2.68601751327515,-1.04036712128436,-1.55033712835257,1.88424492994944,0.00425914453592236,0.00272258665506245,0.0050549767825581,-0.0600994115641388,-0.127020205279489,0.143990036627456,0.00929997102481527,0.151370471900476,0.152520719517082,15.3484123525485,1.95055191970222,1.96711249489222,0.026431908513613,0.0724551775747759,0.127525778669373,0.503908727760027,0.000641021590246595,0.00588702378274313,NaN,NaN,NaN,NaN,1.9161886291726,-122.783489357006,2.0165652678643,stable,stable,1,0.532969458556601,0.181325576991752,0.111220980600603,0.95600239677138,0.343321876146945
7,1.91385139981095,2.72468400001526,-1.07161275847629,-1.57008067875501,1.91385139981095,-0.0402748809362709,0.0151094688644098,0.0430158352679029,-0.0630069213464883,-0.130576304259582,0.147765631851527,0.00953597245408337,0.132547236828269,0.134997789710284,15.3575080691994,1.16095646374609,1.30564872546874,0.177424353838033,0.242201587838143,0.163894044974386,0.475506367240842,0.156724039724614,0.0412692840469859,NaN,NaN,NaN,NaN,1.96867067391655,-123.586570068552,1.66823293061946,stable,stable,1,0.537359931224976,0.190323571511752,0.198856284054269,0.891907353737153,0.327158202233606
8,1.92310562993393,2.74124383926392,-1.11424561419759,-1.55128591416773,1.92310562993393,-0.0471231780333958,0.0118318512128447,0.0485858684299253,-0.0671980709276276,-0.127330065060212,0.146915360631304,0.0094774327256036,0.132301227873091,0.134637957467016,15.4058160977943,0.988174936485399,1.05351634354652,0.17719962551709,0.240291406447103,0.136742042479595,0.497452036402356,0.15953877142097,0.0373752284925539,NaN,NaN,NaN,NaN,1.96461919299708,-125.030810267647,2.39645263918037,stable,stable,1,0.539755759475786,0.192988506311399,0.200290216597492,0.895358327184061,0.339225758897958
9,2.59581574497607,3,-0.797200227847621,-2.43464515317059,2.59581574497607,0.00443044284506036,0.00157506498509099,0.00470209033416057,-0.0427438571612175,-0.310715468158746,0.315921199439504,0.0204004605609471,0.204960558303804,0.207301950652235,15.3551930157649,1.96351479393765,1.9575010802445,0.021213957206243,0.0514420655197164,0.148209037348575,0.445635125132312,0.0188111215133912,0.00701480850757476,NaN,NaN,NaN,NaN,2.98365709536118,-106.900241715489,1.54067094504469,stable,stable,1,0.733677922124065,0.0918035072749805,0.0659934422726843,0.958585039528304,0.334129316733967
10,1.79702150344849,2.6359920501709,-1.07773908548778,-1.42304492501762,1.79702150344849,-0.0543872105863175,0.00715666943751332,0.0548560533833622,-0.0654282570175423,-0.112066738090515,0.132620799041203,0.00855320993499067,0.136497434253686,0.138560483911189,15.4216622871366,0.884079397237791,0.879161502365375,0.17445474090855,0.240283503030587,0.129663394334558,0.404749171606519,0.156530744764833,0.0397790756503366,NaN,NaN,NaN,NaN,1.92399487038037,-126.353098118705,1.59148199997394,stable,stable,1,0.506917831035167,0.198825316132826,0.203329527993481,0.898918593905986,0.342371824740196
