method,n_valid,accuracy,precision,safe_recall,unsafe_reject,balanced_accuracy,f1,unsafe_landing_rate,TP,FP,FN,TN
Ontology+AI (policy),51,0.705882352941177,1,0.673913043478261,1,0.83695652173913,0.805194805194805,0,31,0,15,5
Threshold baseline,51,0.725490196078431,0.921052631578947,0.760869565217391,0.4,0.580434782608696,0.833333333333333,0.6,35,3,11,2
