method,n_valid,accuracy,precision,safe_recall,unsafe_reject,f1,unsafe_landing_rate,TP,FP,FN,TN
Ontology+AI (policy),470,0.648936170212766,0.982269503546099,0.633867276887872,0.848484848484849,0.770514603616134,0.151515151515152,277,5,160,28
Ontology+AI (executed),470,0.702127659574468,0.951367781155015,0.716247139588101,0.515151515151515,0.817232375979112,0.484848484848485,313,16,124,17
Threshold baseline,470,0.421276595744681,0.945945945945946,0.40045766590389,0.696969696969697,0.562700964630225,0.303030303030303,175,10,262,23
