scenario_id,label,success,failure_reason,tag_lock_acquired,landing_cmd_time,random_bias_x,random_bias_y,hover_height_cmd,landing_height_m,wind_speed_cmd,wind_dir_cmd,mean_wind_speed,max_wind_speed,mean_abs_roll_deg,mean_abs_pitch_deg,mean_abs_vz,max_abs_vz,mean_tag_error,max_tag_error,final_altitude,final_abs_speed,final_abs_roll_deg,final_abs_pitch_deg,final_tag_error,stability_std_z,stability_std_vz,stability_std_vz_osc,touchdown_accel_rms,contact_count,final_state,launch_pid,launch_log,exception_message
1,unstable,0,z_unstable,0,30.443359,0,0,1.71899411771183,7.25901073564045e-07,4.177859544204,-23.9678231444059,0,0,0.521682376038198,0.69845600696336,0.0474251375234476,1.46706927439048,0.170121658526495,0.383026455256919,7.25901073564045e-07,0.00259506699325824,0.000288024595595719,3.16059280419217e-05,0.163555662240526,0.800159901130737,0.00655670114414496,0.00479907719901513,0.00880691418928337,0,0,868469,,
2,unstable,0,z_unstable,1,30.434993,0.250881532005081,-0.210116112733048,2.24130398829855,7.25900613207244e-07,0.563597058627291,125.040037102985,0.523340148585183,0.563597083091736,0.390652217023095,0.626584164862454,0.0759783772039616,1.46768351931136,0.107762328115296,0.227208845455881,7.25900613207244e-07,0.00296028115114428,0.000288024412916406,3.16059083671665e-05,0.0793707245146231,0.945575717723105,0.0486078364607591,0.0316125011032576,0.0519972103555626,0,0,876414,,
3,stable,1,,0,30.56483,0,0,2.10733992176421,0,4.34435986923511,-121.563110868299,0,0,0.00238189301034674,0.000257190613793405,0.826054261285988,1.45800744804884,NaN,NaN,0,0.0468729637858227,0,0,NaN,0.257495965323689,NaN,NaN,NaN,0,0,884338,,
4,unstable,0,z_unstable,1,30.446053,0.0600228966639594,-0.228091328896178,1.50565306812685,-5.14427547423626e-07,6.17188117732327,95.3235202519224,3.5267892565046,6.17188119888306,1.66368083538046,0.41600033079069,0.0807516859197286,1.45840413613087,0.204971808497918,0.303923664173019,-5.14427547423626e-07,0.000513531400193322,4.04019712912464e-09,0.000294230899174993,0.300114717167833,0.695321869503169,0.0403400675507504,0.0234949188394474,0.0363165983290913,0,0,892299,,
5,unstable,0,tag_error_high;z_unstable,0,30.505424,0,0,2.22861066056631,-6.6889703595147e-07,4.27432839952823,-88.8968564094914,0,0,0.78667820750859,0.931465794114113,0.0537161280413301,1.45824939446247,0.229939791157702,0.464959982511229,-6.6889703595147e-07,0.000668005102649915,0.000382735397567008,4.03650440419488e-09,0.413986343108363,0.97159992790548,0.042147375815246,0.0398705485089263,0.0597738154668832,0,0,900225,,
6,unstable,0,z_unstable,0,30.454794,0,0,2.41705674828558,-1.86916593350133e-06,6.06555623772333,139.331063602085,0,0,0.495214990899279,0.515761355042412,0.0485642264545622,1.4614980126702,0.160108011124741,0.349872934385845,-1.86916593350133e-06,0.00230975915380797,0.000730417767404259,7.55612469406548e-05,0.349872934385845,1.0342165339397,0.0104955642711001,0.00539530081149728,0.0140907154402669,0,0,908213,,
7,unstable,0,z_unstable,0,30.475326,0,0,1.56879817110372,-1.86916593348833e-06,1.46822556422272,85.346155651172,0,0,0.482617778948984,0.66433257135614,0.0485650415150663,1.45837237829329,0.144113868946109,0.267026058265103,-1.86916593348833e-06,0.00230975915378755,0.000730417767399231,7.55612469395947e-05,0.0595295036080986,0.748289066579622,0.0130060930097018,0.00933177137489011,0.0193237536685405,0,0,916151,,
8,unstable,0,tag_error_high;z_unstable,0,30.460939,0,0,2.19671485264972,-6.06161811225747e-07,6.21594324564823,0.685230895347729,0,0,0.648958161242713,0.463220139251009,0.0522095337396473,1.46088153043333,0.224261937633462,0.539189341049876,-6.06161811225747e-07,0.000605264790549556,4.03614669380264e-09,0.000346790761462634,0.539189341049876,0.961111206701221,0.0286254843080359,0.0242618828509066,0.0404346961839667,0,0,924099,,
9,unstable,0,z_unstable,0,30.489029,0,0,1.92549682800263,-3.02659701732183e-07,4.88989704619441,128.077880890225,0,0,0.787791787268223,0.854645191421445,0.0519476157159967,1.45788352477367,0.236158076469992,0.456991439685532,-3.02659701732183e-07,2.09843372853694e-08,6.93335529512961e-06,0.000184029777291752,0.141911934888766,0.870758857887538,0.029530015402821,0.0259227797451829,0.0410635558449841,0,0,932030,,
10,unstable,0,z_unstable,1,30.516277,0.0473794984610406,0.271502668717859,2.17079710898022,-1.86916063449099e-06,4.18873635768928,-72.426452361472,1.52317688681863,4.18873643875122,0.633980037010564,0.661663474672129,0.0554455390798319,1.45655291435399,0.124137248587108,0.23217068756636,-1.86916063449099e-06,0.00259506578614845,0.000730415695720556,7.55610327215464e-05,0.198040542254884,0.949939854207373,0.0482084194951111,0.0463222381286248,0.0677043270908845,0,0,939983,,
11,unstable,0,z_unstable,0,30.511077,0,0,2.34294928899529,-1.86916593349921e-06,7.19038844665752,158.04111292076,0,0,0.727052419224108,1.32762129688395,0.0576726135737723,1.46817235879697,0.225985762347574,0.436750159257951,-1.86916593349921e-06,0.00230975915379904,0.000730417767402778,7.55612469396139e-05,0.193556712869125,1.00402907008278,0.0515670371858113,0.0463737002716367,0.0727830846254317,0,0,947947,,
12,unstable,0,z_unstable,0,30.473869,0,0,2.31543515593875,-8.97378869348275e-10,0.0108626302882486,-178.887348879313,0,0,0.789236834701739,0.832644689498839,0.0539966339053751,1.45692875391083,0.231507664654373,0.397080771302808,-8.97378869348275e-10,0.000694265026537086,4.96548184529583e-12,3.10195112735689e-09,0.262124161218521,0.999867014385648,0.0395712612005224,0.0387638229635554,0.0572171737272436,0,0,955913,,
13,unstable,0,tag_error_high;z_unstable,0,30.493591,0,0,1.58746881631875,-4.10979984764112e-07,2.08581880963456,-171.792478569264,0,0,0.587993988453079,0.848748117788446,0.0477019642706187,1.46768351931136,0.250915266876118,0.425643514283356,-4.10979984764112e-07,0.000410084810418146,4.68765459602743e-09,0.000234959315100398,0.423119315925155,0.755493961192476,0.00672211525199889,0.00531651440840769,0.00979351698088551,0,0,963832,,
14,stable,1,,0,30.56962,0,0,1.92408481880588,0,2.72851975127383,14.8874159907736,0,0,0.00229844569773365,0.000248151412281718,0.827047009977502,1.45873457170093,NaN,NaN,0,0.0451667741958705,0,0,NaN,0.239801066269579,NaN,NaN,NaN,0,0,971919,,
15,unstable,0,z_unstable,0,30.560417,0,0,2.42616908258307,-8.94719677339818e-10,2.38799557647392,-58.2894742135385,0,0,0.588101671625349,0.811549067604253,0.0485415816813362,1.46360653571011,0.227194939983548,0.409251983143554,-8.94719677339818e-10,0.000337111340644623,1.1397770309734e-09,2.03381380617665e-09,0.175793675522984,1.03745110049262,0.0115786795946099,0.00655845554129433,0.0171173626904316,0,0,979899,,
