scenario_id,label,success,failure_reason,hover_height_cmd,landing_height_m,wind_speed_cmd,wind_dir_cmd,mean_wind_speed,max_wind_speed,mean_abs_roll_deg,mean_abs_pitch_deg,mean_abs_vz,max_abs_vz,mean_tag_error,max_tag_error,final_altitude,final_abs_speed,final_abs_roll_deg,final_abs_pitch_deg,final_tag_error,stability_std_z,stability_std_vz,stability_std_vz_osc,touchdown_accel_rms,contact_count,final_state,landing_cmd_time,launch_pid,launch_log,exception_message
1,unstable,0,z_unstable;vz_unstable,2.13776980360892,-3.63032228590072e-07,3.1024534551421,121.390570770198,1.72928638117654,4.07656621932983,0.942079187466671,1.41354352396876,0.156702312856748,4.73998821304454,0.181551171704246,0.452326108516589,-3.63032228590072e-07,0.000362137470103092,3.08493628698487e-08,0.000207467127049517,0.170981652665696,1.29548211227219,1.05829552404529,0.881012467969583,1.51724557513846,0,0,30.011967,1437701,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s001_20260309_155952.log,
2,unstable,0,z_unstable;vz_unstable,1.9047523123215,4.4059119308291e-07,5.74248740229148,-6.72385547010001,4.51126840379503,7.14628648757935,0.249948310768243,2.15262805278776,0.150489563691196,4.61443912657975,0.109959442136412,0.251012252823252,4.4059119308291e-07,0.00267497499102985,0.000176839140036245,2.30594581253255e-05,0.120832574786512,1.18769188887632,1.02408601965683,0.885986086941448,1.47038790555161,0,0,29.745222,1440533,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s002_20260309_160050.log,
3,unstable,0,z_unstable;vz_unstable,1.62702052757534,-2.23438548029719e-06,4.79235311169483,-132.434756638509,3.68821884691715,5.96757411956787,0.937733577858661,1.74313871926082,0.14159071086823,4.61454750513269,0.193680218776374,0.378282779644901,-2.23438548029719e-06,0.00296029108879978,0.000873203579635408,9.03324604432774e-05,0.20065983232086,1.05987337180499,1.01935461071816,0.822428813234679,1.45985749120006,0,0,29.684681,1443303,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s003_20260309_160147.log,
4,unstable,0,z_unstable;vz_unstable,2.09381261359504,-8.96338254543266e-10,2.2158473001047,33.4177431224929,1.50750697321362,2.64826917648315,0.305128184304275,1.33372694060919,0.192274749724039,6.78726412171563,0.171067027226787,0.315102540613106,-8.96338254543266e-10,0.000514172862925945,7.00357320257103e-10,2.57967775553352e-09,0.0374195013225391,1.2767140133592,1.61268885836895,1.08671248519016,2.38097721801942,0,0,29.707333,1446074,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s004_20260309_160245.log,
5,unstable,0,z_unstable;vz_unstable,1.86505444046685,7.25902050502504e-07,1.232138209859,-120.592081116694,0.6654276907444,1.73703014850616,0.344229583393231,1.59934875466214,0.149020799330591,4.45510558367008,0.159569028092263,0.345490564537777,7.25902050502504e-07,0.00230975688283255,0.000288024979824544,3.16059787875701e-05,0.313566379556818,1.17777745319243,0.999235448724871,0.865592201867393,1.47738962627137,0,0,29.741116,1449093,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s005_20260309_160343.log,
6,unstable,0,tag_error_high;z_unstable;vz_unstable,2.12424198724063,7.25903097424191e-07,2.33124620570969,-130.612528089098,1.57452425029543,3.01193904876709,0.574889311826593,1.36211703004715,0.191972693007496,6.90572847309413,0.150491136497363,0.360394022690739,7.25903097424191e-07,0.00259506641932128,0.000288025392242305,3.16060322398363e-05,0.360394022690739,1.28700814322592,1.66170886290682,1.13765067034867,2.4433781503605,0,0,29.915253,1451996,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s006_20260309_160440.log,
7,unstable,0,z_unstable;vz_unstable,2.12834258872586,4.40587321323079e-07,6.45109296362016,-35.4455259749395,4.02823967092177,7.9449405670166,1.03013930350035,1.74576806791344,0.19886412738252,6.91371501856449,0.138170317479789,0.213607256328941,4.40587321323079e-07,0.00267497651253661,0.000176837589142541,2.30592561836655e-05,0.133908171740851,1.28601988479571,1.65431297602122,1.14059761617888,2.43709763964582,0,0,29.708647,1454895,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s007_20260309_160538.log,
8,unstable,0,z_unstable;vz_unstable,2.38286534348755,7.25905189117033e-07,4.09511947584764,-44.5669872722169,2.82398162947761,5.03193664550781,0.692970940502578,1.5022429301714,0.202975004616528,6.94719173317682,0.157459602899179,0.427163161737097,7.25905189117033e-07,0.00259506576190006,0.000288026229079928,3.16061044375935e-05,0.131103531127853,1.39490574834557,1.66553762550645,1.11218606335111,2.46213650754733,0,0,29.730247,1457862,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s008_20260309_160636.log,
9,unstable,0,tag_error_high;z_unstable;vz_unstable,2.05163033911707,-1.48060195468546e-06,7.67114757766918,127.944518105041,4.37987111744128,9.52130222320557,1.54948653500682,2.48632015185457,0.162708105873994,4.66648389549136,0.212400916601373,0.425029567191515,-1.48060195468546e-06,0.000893158639404691,1.29237059529633e-05,0.00066982184701564,0.425029567191515,1.22477830950815,1.04803386953122,0.917343912191738,1.50681430112133,0,0,29.738786,1460692,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s009_20260309_160733.log,
10,unstable,0,z_unstable;vz_unstable,1.89672435885635,-6.9677005994291e-07,3.30344514071541,170.623492449148,2.18864170142583,4.05009794235229,0.178132157430596,2.02482043126436,0.152738275831624,4.71956210717052,0.205038051496449,0.457187342518558,-6.9677005994291e-07,0.000695875981807682,0.00039870546334364,4.03524188644733e-09,0.287310964939129,1.18323578503232,1.04772210745117,0.900173710004122,1.51374928551282,0,0,29.668985,1463640,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s010_20260309_160831.log,
