scenario_id,mean_wind_speed,max_wind_speed,wind_velocity_x,wind_velocity_y,wind_velocity,wind_acceleration_x,wind_acceleration_y,wind_acceleration,wind_body_force_x,wind_body_force_y,wind_body_force,mean_wind_body_risk,mean_wind_gust_risk,mean_wind_risk_raw,min_thrust_margin_n,mean_abs_roll_deg,mean_abs_pitch_deg,mean_abs_vz,max_abs_vz,mean_tag_error,max_tag_error,stability_std_z,stability_std_vz,mean_imu_ang_vel,max_imu_ang_vel,mean_imu_lin_acc,max_imu_lin_acc,wind_speed_cmd,wind_dir_cmd,hover_height_cmd,gt_safe_to_land,label,success,onto_wind_condition,onto_gust,onto_temporal_pattern,onto_drone_state,onto_tag_observation
1,2.01746840136392,2.74376440048218,-1.24448054145823,-1.57061238002791,2.01746840136392,-0.0562280242467237,0.0153868282470604,0.0582953273787418,-0.0841494457811526,-0.130633547273558,0.159019407835703,0.0102568334870864,0.126584651545858,0.129157425734467,15.421630929211,0.889556881903717,0.961808275618185,0.176755390227442,0.240240719569619,0.128387555542242,0.393061243513682,0.159543213322313,0.0341943832739722,NaN,NaN,NaN,NaN,2.0716688985117,-127.374480982322,2.31472368639318,stable,stable,1,0.563823058843938,0.174104076487711,0.187804861893079,0.897075864362892,0.342938864203448
2,2.30157700181007,3,-1.38936917170402,-1.79637263606646,2.30157700181007,0.0108130882564377,0.0057944188811833,0.0122677694717551,-0.109799398104739,-0.174920740034619,0.215822318790959,0.0139329023601534,0.230914019878391,0.232615103325249,15.4074804780272,1.64067060918216,1.85432371087213,0.0191337652608855,0.111027386594156,0.118174147317967,0.456466283605219,0.000183315521902805,0.00498266329758108,NaN,NaN,NaN,NaN,2.42882567996652,-126.095851442396,2.29562827713516,stable,stable,1,0.660276887814403,0.159394265662555,0.09752991052558,0.962972447711988,0.94747815674757
3,1.7339874766017,2.85601210594177,-1.07175609159386,-1.33079651317953,1.7339874766017,-0.0675692347563186,0.0166917718454246,0.0696004075627018,-0.0678576406491555,-0.0997840305120402,0.126914835670503,0.00818647373183931,0.182661205110045,0.184650266337974,15.4212912499659,0.863087784672869,1.06642818260775,0.17502699965483,0.24023880247949,0.172855572242683,0.413384586958362,0.157656008108803,0.0395105636173988,NaN,NaN,NaN,NaN,1.87319628751653,-127.297520073929,1.81887905467716,stable,stable,1,0.499326713694714,0.265215616321346,0.243566184409107,0.897326017572523,0.323175301225474
4,2.32324995915845,3,-0.660835107811371,-2.19194324362652,2.32324995915845,-0.0177113894122767,0.0119645173607545,0.0213738857157303,-0.0333344847802146,-0.266877937624395,0.270848720902576,0.0174826946498636,0.23389058825767,0.235341513348734,15.3737238204997,1.50805526352341,1.39889368188834,0.0622816715251724,0.24038072413797,0.137218801621483,0.42269413453074,0.00195726295887306,0.00687214736504456,NaN,NaN,NaN,NaN,2.46779887999601,-105.553838771394,1.76292687014533,unstable,unstable,0,0.666601625111999,0.1561873049039,0.097081240268926,0.946018851094893,0.339013865946008
5,1.84898513433885,2.5937602519989,-1.08940791135236,-1.478912393039,1.84898513433885,-0.0461408510978964,0.00898108204310103,0.0470067864749672,-0.0649326628921109,-0.115919302191567,0.135656377112137,0.00875019697758785,0.129965626162271,0.132198801971198,15.4537883910079,0.958323153127007,0.907671242645785,0.176711805370413,0.240241947287126,0.172395051516508,0.418347875239621,0.156699321237043,0.0409886285689723,NaN,NaN,NaN,NaN,1.88084050141636,-125.058018224367,1.97578579706158,stable,stable,1,0.519502462884598,0.176192312327256,0.190264486011636,0.896982712776579,0.323379977103774
6,1.8928720386823,2.64217448234558,-1.04131383257781,-1.56536469567107,1.8928720386823,0.00362001243112378,0.00189731910802189,0.00408709062771498,-0.0587525005005671,-0.12866980051294,0.14400670598687,0.00930194660273613,0.127720521164015,0.128848474310348,15.3388782617745,2.12117298762917,2.0805027753898,0.0234216621175306,0.0761224135110275,0.136901161533128,0.501508072410535,0.000113911454721185,0.00514072851679944,NaN,NaN,NaN,NaN,1.9161886291726,-122.783489357006,2.11800674825766,stable,stable,1,0.530535571844017,0.169342349772652,0.103525393001091,0.9552760022318,0.33915503931861
7,1.91128293565802,2.81964731216431,-1.0751976407769,-1.54836978333301,1.91128293565802,-0.0811654979764223,0.00305446977477616,0.0812229514814971,-0.0673927983338131,-0.132204090915623,0.154219687403789,0.0099449794749029,0.200785294131231,0.203108307223152,15.4725555818662,0.668235022501008,0.76500569113241,0.175477029805149,0.240277888412932,0.115632270509167,0.394219492309279,0.156724804026432,0.0416793785483366,NaN,NaN,NaN,NaN,1.96867067391655,-123.586570068552,1.83260190102123,stable,stable,1,0.550297110953435,0.21927285915219,0.216375321601446,0.901000308061734,0.348607879773704
8,1.91128780160631,2.57670640945435,-1.11255786238629,-1.53808412145934,1.91128780160631,-0.0465219451766445,0.00256890992173632,0.046592817914403,-0.0675129163422138,-0.125050360981238,0.145112227489341,0.00935914612355801,0.122589938154955,0.124958399209698,15.4610656539592,0.942818080364139,0.783457231201234,0.176088779398217,0.240225699109236,0.147526821067693,0.432830541620498,0.159645384104224,0.0342079221334492,NaN,NaN,NaN,NaN,1.96461919299708,-125.030810267647,1.98643417335142,stable,stable,1,0.534668426936957,0.158261203383448,0.178349470488554,0.898392018567164,0.334432523969914
9,2.60792925318082,3,-0.797957210952904,-2.45088897254767,2.60792925318082,0.00488450758770813,0.00232326818886627,0.00540888060986525,-0.0417273756163927,-0.312794757639089,0.317621362464364,0.0205114848721787,0.194657906503902,0.197209771835423,15.3141454517329,1.99025721359035,1.87170448029195,0.0138975910092263,0.0715477742416433,0.128646939124366,0.496832010937564,0.000202523719816502,0.00502782545824988,NaN,NaN,NaN,NaN,2.98365709536118,-106.900241715489,2.49889565621494,stable,stable,1,0.734889755215304,0.0892075461461238,0.0554428383964513,0.96270721975774,0.942823582611393
10,1.87753219912652,2.73583197593689,-1.13211918329407,-1.47457024728629,1.87753219912652,-0.0525515247457957,0.00848551224014364,0.053232195813113,-0.0705623641369335,-0.116406448385354,0.140626734894048,0.00907336019074172,0.149953135197242,0.152151124238919,15.3721477770811,1.17176681400476,1.18754187004463,0.176419846440969,0.240246770406644,0.16350646320082,0.472518348283908,0.156659742705333,0.0396619372821964,NaN,NaN,NaN,NaN,1.92399487038037,-126.353098118705,2.22545704477773,stable,stable,1,0.53110547794819,0.202876685681403,0.205775086370395,0.893252651404842,0.327330460799635
