pid	domain_id	gazebo_port	log
575289	40	12045	/home/j/INCSL/IICC26_ws/.parallel_sim/logs/20260320_171540/instance_0.log
575522	41	12046	/home/j/INCSL/IICC26_ws/.parallel_sim/logs/20260320_171540/instance_1.log
575840	42	12047	/home/j/INCSL/IICC26_ws/.parallel_sim/logs/20260320_171540/instance_2.log
576129	43	12048	/home/j/INCSL/IICC26_ws/.parallel_sim/logs/20260320_171540/instance_3.log
